,Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,File
0,1,Switzerland,Western Europe,"7,59","8,26","0,96",73.0,"0,99","0,37","0,24",data/raw/world_happiness_2015.csv
1,2,Iceland,Western Europe,"7,56","7,7",1,73.0,"0,94","0,55","0,74",data/raw/world_happiness_2015.csv
2,3,Denmark,Western Europe,"7,53","7,84","0,97",70.0,"0,97","0,43","0,12",data/raw/world_happiness_2015.csv
3,4,Norway,Western Europe,"7,52","8,63","0,95",71.0,1,"0,44","0,34",data/raw/world_happiness_2015.csv
4,5,Canada,North America and ANZ,"7,43","7,85","0,94",71.0,"0,95","0,58","0,4",data/raw/world_happiness_2015.csv
5,6,Finland,Western Europe,"7,41","7,63","0,94",71.0,"0,96","0,29","0,25",data/raw/world_happiness_2015.csv
6,7,Netherlands,Western Europe,"7,38","7,86","0,91",71.0,"0,92","0,6","0,42",data/raw/world_happiness_2015.csv
7,8,Sweden,Western Europe,"7,36","7,88","0,92",72.0,"0,99","0,46","0,21",data/raw/world_happiness_2015.csv
8,9,New Zealand,North America and ANZ,"7,29","7,4","0,94",72.0,"0,95","0,6","0,22",data/raw/world_happiness_2015.csv
9,10,Australia,North America and ANZ,"7,28","7,89","0,93",72.0,"0,97","0,55","0,35",data/raw/world_happiness_2015.csv
10,11,Israel,Middle East and North Africa,"7,28","7,27","0,87",72.0,"0,62","0,42","0,86",data/raw/world_happiness_2015.csv
11,12,Costa Rica,Latin America and Caribbean,"7,23","5,65","0,88",70.0,"0,95","0,32","0,81",data/raw/world_happiness_2015.csv
12,13,Austria,Western Europe,"7,2","7,91","0,92",71.0,"0,93","0,42","0,66",data/raw/world_happiness_2015.csv
13,14,Mexico,Latin America and Caribbean,"7,19","6,04","0,65",68.0,"0,72","0,18","0,61",data/raw/world_happiness_2015.csv
14,15,United States,North America and ANZ,"7,12","8,25","0,89",70.0,"0,82","0,5","0,71",data/raw/world_happiness_2015.csv
15,16,Brazil,Latin America and Caribbean,"6,98","5,8","0,88",64.0,"0,73","0,18","0,68",data/raw/world_happiness_2015.csv
